genre,filename,title,content
business,288.txt,UK economy facing 'major risks',uk manufactur sector continu face seriou challeng next two year british chamber commerc bcc say group quarterli survey compani find export pick last three month 2004 good level eight year rise come despit exchang rate cite major concern howev bcc find whole uk economi still face major risk warn growth set slow recent forecast econom growth slow 3 2004 littl 2 5 2005 2006 manufactur domest sale growth fall back slightli quarter survey 5 196 firm find employ manufactur also fall job expect low level year despit posit news export sector worri sign manufactur bcc say result reinforc concern sector persist inabl sustain recoveri outlook servic sector uncertain despit increa export order quarter bcc note bcc find confid increa quarter across manufactur servic sector although over fail reach level start 2004 reduc threat interest rate increa contribut improv confid say bank england rai interest rate five time novemb 2003 august last year rate keep hold sinc amid sign fall consum confid slowdown output pressur cost margin relentless increa regul threat high taxi remain seriou problem bcc director gener david frost say consum spend set decel significantli next 12 18 month unlik invest export rise suffici strongli pick slack
business,184.txt,US bank 'loses' customer details,bank america reveal lose comput tape contain account detail one million custom feder employ sever member us senat among affect could vulner ident theft senat sourc say miss tape may steal plane baggag handler bank give detail record disappear say probabl misu custom account monitor account holder would notifi unusu activ detect bank offici say bank america say tape go miss decemb ship back datum centr feder law author robust thorough investig neither would make statement lightli believ tape lose alexandra tower spokeswoman north carolina base bank tell time magazin although evid crimin activ bank say secret servic feder agenc whose brief includ investig seriou financ crime say look loss new york senat charl schumer say tell senat rule committ tape probabl steal commerci plane whether ident theft terror theft new complic world baggag handler background check care take hire increasingli sensit posit democrat senat say detail vermont colleagu pat leahi credit card account among miss senat leahi spokeswoman traci schmaler say 900 000 militari civilian staff defenc depart among 1 2 million affect accord pentagon spokesman
business,471.txt,China suspends 26 power projects,china order halt construct work 26 big power station includ two three gorg dam environ ground move surpri one china struggl increa energi suppli boom economi last year 24 provinc suffer black state environ protect agenc say 26 project fail proper environ assess top list controversi dam scenic upper yangtz river construct project start without approv assess environ impact typic illeg project construct first approv next say sepa vice director pan yue statement agenc websit project may allow start work proper permit would cancel say altogeth agenc order 30 project halt project includ petrochem plant port fujian bulk list make new power plant exten exist one stoppag would appear anoth step central govern battl control project licen local offici howev previou crackdown tend focu project govern argu overcapac steel cement govern encourag construct new electr gener capac solv chronic energi shortag forc mani factori onto part time work last year 2004 china increa gener capac 12 6 440 700 megawatt mw big singl project halt xiluodi dam project design produc 12 600 mw electr build jinshajiang river golden sand upper reach yangtz know second third agenc list two power station build 22bn three gorg dam project central yangtz underground 4 200 mw power plant 100 mw plant three gorg dam prove controversi china half million peopl reloc make way abroad draw critic environ group oversea human right activist dam upper yangtz also begin attract critic environmentalist china april 2004 central govern offici order halt work nearbi nu river part unit nation world heritag site three parallel river site cover yangtz mekong nu also know salween accord uk publish china review move reportedli follow protest thai govern downstream impact dam critic documentari make chine journalist china energi shortag influenc global price oil coal ship last year
business,35.txt,US gives foreign firms extra time,foreign firm give extra year meet tough new corpor govern regul impo stock market watchdog secur exchang commiss extend deadlin get line rule 15 juli 2006 mani foreign firm protest sec impo unfair burden new rule result sarban oxley act part clean corpor scandal enron worldcom section 404 sox act legisl nicknam call firm certifi financ report line rule big us firm alreadi meet requir small one foreign base firm list share stock market origin middl year past month deleg european busi leader head sec washington dc headquart protest say burden expen timesc short particularli uk cbi warn compani would choo let list drop rather get line section 404 late deleg cbi meet sec offici wednesday deci relax deadlin announc think signifi chang heart sec cbi director gener sir digbi jone tell bbc today programm listen mani oversea compani remind america globali realli mean make rule isol sec say take consid fact foreign compani alreadi work meet oner financ report rule home countri european union particular impo new intern financ report standard 2005 note underestim effort complianc requir exten provid addit time issuer take good hard look intern control say donald nicolaisen sec chief account
business,377.txt,Ukraine strikes Turkmen gas deal,ukrain agr pay 30 natur ga suppli turkmenistan deal seal three day turkmenistan cut ga suppli price disput threaten ukrainian economi suppli turkmenistan account 45 natur ga import ukrain larg coal deposit ga field turkmenistan also tri strike similar deal russia depend ga turkman presid saparmurat niyazov sign contract say turkmen side agr low price demand 2 per 1 000 cubic metr bring 58 new price still 14 high price fix contract 2004 head ukrainian state naftohaz compani yuri boyko say fulli happi deal friday turkmenistan act threat shut ga suppli ukrain attempt bring price disput head mr niyazov say govern would insist price suppli russia analyst say thay may happen russia world lead ga produc need cheap turkman ga reliev state gazprom costli invest explor oil field siberia turkmenistan second larg ga produc world
business,150.txt,Bank voted 8-1 for no rate change,deci keep interest rate hold 4 75 earli month pass 8 1 bank england rate set bodi minut show one member bank monetari polici committ mpc paul tucker vote rai rate 5 news surpri analyst expect late minut show anoth unanim deci worri growth rate consum spend behind deci freez rate minut show bank late inflat report relea last week note main reason inflat might fall weak consum spend howev mpc member paul tucker vote quarter point rise interest rate 5 argu econom growth pick equiti credit hou market strong expect bank minut say risk inflat forecast suffici downsid keep rate hold late meet howev minut add member note increa might warrant due cour economi evolv line central project ross walker uk economist royal bank scotland say surpri dissent vote make soon say minut appear tri get market focu possibl rise rate economi pan expect probabl go hike rate howev add rate increa like happen later year mpc member like look sustain pick consum spend act
business,315.txt,Euronext 'poised to make LSE bid',pan european group euronext poi launch bid london stock exchang uk medium report say last week lse reject takeov propo german rival deutsch boer 530 penc share offer valu exchang 1 35bn lse saw share rise 25 say bid undervalu busi euronext form brussel pari amsterdam exchang merg reportedli work three invest bank possibl offer lse europ big stock market key prize list stock total capitali 1 4 trillion euronext alreadi presenc london due 2001 acquisit london base option futur exchang liff trade lse clear via clearnet euronext quarter stake euronext also oper exchang lisbon last week appoint ub abn amro addit advisor also work morgan stanley despit reject deutsch boer bid last week werner seifert chief execut frankfurt base exchang may well come back improv offer long want link london two tri fail seal merger 2000 respond lse rebuff deutsch boer whose market capitali 3bn say believ could show propo offer benefit still hope make cash bid last week lse say bid undervalu advi assur transact could success implement howev indic open talk meanwhil german magazin der spiegel say part mr seifert negoti lse base futur board merg exchang mr seifert suggest merg compani would run london mayor frankfurt rai concern move could cost german job mani analyst believ german boer financ firepow euronext come bid war
business,455.txt,Gazprom 'in $36m back-tax claim',nuclear unit russian energi giant gazprom reportedli face 1bn roubl 35 7 19 1 back tax claim 2001 2003 period vedomosti newspap report russian author make demand end last year paper add taxi claim link compani export activ gazprom big ga compani world take nuclear fuel giant atomstroieksport octob 2004 main project atomstroieksport build nuclear plant iran sourc tension russia gazprom one key player complex russian energi market govern vladimir putin make move regain state influenc sector gazprom set merg state oil firm rosneft compani eventu acquir yuganskneftega main unit embattl oil giant yuko claim back taxi tool use yuko lead enforc sale yuganskneftega analyst fear kremlin continu use sort move boost effort state regain control strateg import sector oil
business,206.txt,EMI shares hit by profit warning,share music giant emi sink 16 firm issu profit warn follow disappoint sale delay two album relea emi say music sale year march fall 8 9 year profit set 15 low analyst expect blame poor sale sinc christma delay relea new album coldplay gorillaz 1200 gmt monday emi share 16 2 235 75 penni emi say two major album schedul relea end financ year march one coldplay one gorillaz relea date put back emi music sale particularli order januari also low anticip expect continu februari march compani add therefor full year constant currenc emi music sale expect 8 9 low prior year compani say expect profit 138 259 8 alain levi chairman chief execut emi music describ perform disappoint add remain optimist futur trend industri physic music market show sign stabili mani part world digit music form continu develop rapid pace say comment delay relea coldplay gorillaz album mr levi say creat market music exact scienc alway coincid report period reschedul recent soft disappoint chang view improv health global record music industri add paul richard analyst numi secur say market would focu slump music sale rather time two album unusu see much downgrad phase say
business,388.txt,Egypt to sell off state-owned bank,egyptian govern reportedli plan privati one countri big public bank invest ministri offici tell reuter news agenc bank alexandria sell sometim 2005 move see evid new commit govern reduc size public sector offici say govern yet decid whether sale take form public flotat import thing decid method whether sell share public strateg investor abroad say analyst say public sector bank suit govern monetari credit exchang polici nevertheless egyptian govern speak year privati one big four state bank banqu misr nation bank egypt banqu du cair bank alexandria expect one small four big public bank bank alexandria banqu du cair would sell first announc reinforc hope investor intern financ bodi reviv egypt privati programm 190 state run compani facil sell earli 1990 1997 appoint mahmoud mohieldin reform mind technocrat new post invest minist juli take sign sell way imf world bank urg egypt remov obstacl develop privat sector say vital role play reduc poverti expand economi
